Model,Accuracy,Precision,Recall,F1-score,ROC AUC
Logistic Regression (Oversampled),0.56,0.046511627906976744,0.4,0.08333333333333333,0.5052631578947369
Random Forest (Oversampled),0.94,0.0,0.0,0.0,0.32
